Day,Date,Time,Home,LocalGoals,VisitorGoals,Attendance,Venue
Sat,08-12-23,17:00,RealSociedad,1,1,Girona,30848
Sat,08-12-23,21:30,AthleticClub,0,2,RealMadrid,48927
Mon,08-14-23,19:30,Cádiz,1,0,Alavés,19306
Mon,08-14-23,21:30,AtléticoMadrid,3,1,Granada,56164
Sat,08-19-23,17:00,RealSociedad,1,1,CeltaVigo,30354
Sat,08-19-23,19:30,Almería,1,3,RealMadrid,17561
Sun,08-20-23,19:30,Barcelona,2,0,Cádiz,39603
Sun,08-20-23,21:30,Betis,0,0,AtléticoMadrid,51782
Mon,08-21-23,21:30,Granada,0,2,RayoVallecano,17338
Fri,08-25-23,18:30,LasPalmas,0,0,RealSociedad,25335
Fri,08-25-23,21:30,CeltaVigo,0,1,RealMadrid,23057
Sat,08-26-23,19:00,Cádiz,1,1,Almería,18653
Sat,08-26-23,19:30,Granada,3,2,Mallorca,16368
Mon,08-28-23,21:30,RayoVallecano,0,7,AtléticoMadrid,13966
Fri,09-01-23,19:30,Cádiz,3,1,Villarreal,18557
Sat,09-02-23,14:00,RealSociedad,5,3,Granada,27808
Sat,09-02-23,16:15,RealMadrid,2,1,Getafe,66747
Sat,09-16-23,14:00,AthleticClub,3,0,Cádiz,42881
Sat,09-16-23,16:15,Valencia,3,0,AtléticoMadrid,45363
Sun,09-17-23,21:00,RealMadrid,2,1,RealSociedad,70092
Mon,09-18-23,21:00,Granada,2,4,Girona,17323
Sun,09-24-23,14:00,RealSociedad,4,3,Getafe,29568
Sun,09-24-23,17:30,LasPalmas,1,0,Granada,24848
Sun,09-24-23,18:30,Betis,1,1,Cádiz,56087
Sun,09-24-23,21:00,AtléticoMadrid,3,1,RealMadrid,69082
Wed,09-27-23,19:00,AthleticClub,2,2,Getafe,43091
Wed,09-27-23,19:00,RealMadrid,2,0,LasPalmas,65017
Wed,09-27-23,19:00,Villarreal,1,2,Girona,17188
Wed,09-27-23,21:30,Cádiz,0,0,RayoVallecano,18505
Wed,09-27-23,21:30,Valencia,0,1,RealSociedad,44200
Thu,09-28-23,19:00,Granada,1,1,Betis,18936
Thu,09-28-23,21:30,Osasuna,0,2,AtléticoMadrid,20192
Sat,09-30-23,18:30,Girona,0,3,RealMadrid,14184
Sat,09-30-23,21:00,RealSociedad,3,0,AthleticClub,38229
Sun,10-01-23,14:00,Almería,3,3,Granada,14264
Sun,10-01-23,21:00,AtléticoMadrid,3,2,Cádiz,53421
Sat,10-07-23,14:00,Cádiz,0,1,Girona,16438
Sat,10-07-23,16:15,RealMadrid,4,0,Osasuna,70864
Sun,10-08-23,16:15,AtléticoMadrid,2,1,RealSociedad,65607
Sun,10-08-23,21:00,Granada,2,2,Barcelona,20354
Fri,10-20-23,21:00,Osasuna,2,0,Granada,19739
Sat,10-21-23,14:00,RealSociedad,1,0,Mallorca,31279
Sat,10-21-23,18:30,Sevilla,1,1,RealMadrid,41212
Sat,10-21-23,21:00,CeltaVigo,0,3,AtléticoMadrid,20282
Mon,10-23-23,21:00,Valencia,2,0,Cádiz,41647
Sat,10-28-23,16:15,Barcelona,1,2,RealMadrid,50112
Sat,10-28-23,21:00,Cádiz,2,2,Sevilla,18886
Sun,10-29-23,16:15,RayoVallecano,2,2,RealSociedad,12790
Sun,10-29-23,21:00,AtléticoMadrid,2,1,Alavés,50009
Mon,10-30-23,21:00,Granada,2,3,Villarreal,16638
Fri,11-03-23,20:00,LasPalmas,2,1,AtléticoMadrid,30080
Sat,11-04-23,21:00,RealSociedad,0,1,Barcelona,37555
Sun,11-05-23,16:15,Valencia,1,0,Granada,44922
Sun,11-05-23,21:00,RealMadrid,0,0,RayoVallecano,70220
Mon,11-06-23,21:00,Getafe,1,0,Cádiz,9853
Sat,11-11-23,16:15,Almería,1,3,RealSociedad,13016
Sat,11-11-23,18:30,Granada,1,1,Getafe,18103
Sat,11-11-23,21:00,RealMadrid,5,1,Valencia,72475
Sun,11-12-23,21:00,AtléticoMadrid,3,1,Villarreal,56632
Fri,11-24-23,21:00,Alavés,3,1,Granada,15705
Sat,11-25-23,21:00,AtléticoMadrid,1,0,Mallorca,58119
Sun,11-26-23,16:15,RealSociedad,2,1,Sevilla,33879
Sun,11-26-23,18:30,Cádiz,0,3,RealMadrid,20325
Wed,11-29-23,21:00,Mallorca,1,1,Cádiz,13821
Sat,12-02-23,18:30,RealMadrid,2,0,Granada,70685
Sat,12-02-23,21:00,Osasuna,1,1,RealSociedad,20859
Sun,12-03-23,21:00,Barcelona,1,0,AtléticoMadrid,34568
Mon,12-04-23,21:00,CeltaVigo,1,1,Cádiz,17302
Sat,12-09-23,16:15,Betis,1,1,RealMadrid,52756
Sat,12-09-23,18:30,Villarreal,0,3,RealSociedad,19344
Sun,12-10-23,14:00,AtléticoMadrid,2,1,Almería,55473
Sun,12-10-23,18:30,Cádiz,1,1,Osasuna,18356
